Camera,LOCATION_LAT,LOCATION_LON,LOCATION_ELEV,Site Description
aafcottawacfiaf14e,45.292100,-75.766400,90,AAFC Site - Ottawa (On) - CFIA - Field F14 - East Flux Tower
aafcottawacfiaf14n,45.292900,-75.767000,90,AAFC Site - Ottawa (On) - CFIA - Field F14 - North Section
aafcottawacfiaf14w,45.292100,-75.766400,90,AAFC Site - Ottawa (On) - CFIA - Field F14 - West Flux Tower
acadia,44.376944,-68.260833,158,"Acadia National Park, McFarland Hill, near Bar Harbor, Maine"
admixpasture,-43.649300,172.349500,33,"Eddy site, mixed species irrigated dairy pasture, Ashley Dene Research & Development Station, South Island, New Zealand"
adrycpasture,-43.651300,172.350100,31,"Ryegrass-clover irrigated dairy pasture, Ashley Dene Research & Development Station, South Island, New Zealand"
aguatibianorth,33.602220,-117.343680,1090,"Agua Tibia Wilderness, California"
ahwahnee,37.746700,-119.581600,1199,"Ahwahnee Meadow, Yosemite National Park, California"
alercecosteroforest,-40.172600,-73.443900,840,Alerce Costero National Park Forest
alleypond,40.742843,-73.743035,61,"Alley Pond, Queens, New York"
alligatorriver,35.787900,-75.903800,1,"Alligator River National Wildlife Refuge, North Carolina"
almondifapa,37.854500,-4.806400,106,Almond orchard in Cordoba (Spain)
amtsvenn,52.176000,6.955000,44,"EC tower, Amtsvenn peatland, Northrhein-Westphalia, Germany"
anisclo,42.559409,0.050894,952,"Río Bellos, Ermita de San Urbez (PNOMP) Spain"
apvcontrol,50.863200,6.531100,169,"Agrophotovoltaik (APV) field of IBG-2 in Morschenich-Alt, Forschungszentrum Juelich"
apvexperiment,50.863400,6.530900,169,"Agri-Photovoltaik Field of IBG-2 near Morschenich-Alt, Forschungszentrum Juelich"
arbutuslake,43.982070,-74.233220,535,"Arbutus Lake, Huntington Wildlife Forest, Newcomb, New York"
arbutuslakeinlet,43.993360,-74.245270,527,"Arbutus Lake Inlet Tower, Huntington Wildlife Forest, Newcomb, New York"
archboldavir,27.176064,-81.219580,8,"A. virginicus Field, Archbold Biological Station, Florida"
archboldavirx,27.166627,-81.219828,8,"A. virginicus Field (not grazed), Archbold Biological Station, Florida"
archboldbahia,27.165600,-81.216112,8,"Archbold Biological Station, Florida, USA"
archboldpnot,27.187948,-81.200345,9,"P. notatum Field, Archbold Biological Station, Florida"
archboldpnotx,27.180677,-81.200680,9,"P. notatum Field (not grazed), Archbold Biological Station, Florida"
archboldwet,27.190000,-81.210000,8,"Wetland Site, Archbold Biological Station, Florida"
arkansascornsoy,34.416000,-91.672300,61,"Arkansas County, corn/soy rotation"
arkansaswhitaker,33.621600,-91.430600,41,"Tower over rice field, near McGehee, AR"
armoklahoma,36.605800,-97.488800,314,"ARM Climate Research Facility, Billings, Oklahoma"
arsbrooks10,41.974900,-93.690500,312,"Brooks Field site 10, Ames, Iowa"
arsbrooks11,41.974400,-93.693700,313,"Brooks Field site 11, Ames, Iowa"
arscolesnorth,42.488400,-93.522500,356,"Coles farm, north field, near Williams Iowa"
arscolessouth,42.481600,-93.523500,352,"Coles farm, south field, near Williams Iowa"
arsgacp1,31.510900,-83.617900,96,"Southeast Watershed Research Laboratory ECSite 1 Tifton, Georgia"
arsgacp2,31.439500,-83.591456,101,"Southeast Watershed Research Laboratory EC2 Tifton, Georgia"
arsgacp3,31.756300,-83.751600,139,"Southeast Watershed Research Laboratory RG52 Tifton, GA"
arsgacp4,31.709300,-83.728700,127,"Southeast Watershed Research Laboratory EC2 Tifton, Georgia - row crops"
arsgreatbasinltar098,43.167500,-116.713200,1426,"ARS, Great Basin LTAR, ARTRW8 community, Reynolds Creek, Idaho"
arsgreatbasinltar117,43.143200,-116.735700,1625,"ARS, Great Basin LTAR, ARAR8 community, Reynolds Creek, Idaho"
arsgreatbasinltar177,43.064500,-116.748400,2114,"ARS, Great Basin LTAR, ARTRV/SYORU community, Reynolds Creek, Idaho"
arsltarmdcr,39.058700,-75.851300,17,"corn production - irrigated, private farm, Caroline Co., Maryland"
arsltarmdcrnatw,39.057500,-75.753100,16,"Natural Wetland, Caroline County, Maryland"
arsltarmdcrprcw,39.066700,-75.760900,17,"Prior Converted Wetland, corn/soybean rotation, Caroline County, Maryland"
arsltarmdcrresw,39.054900,-75.753200,16,"Restored Wetland, Caroline County, Maryland"
arsltarucbec1,40.753700,-78.005700,400,"West Tower Cooperative Farm, Central, PA"
arsltarucbec2,40.755800,-77.999900,396,"East Tower LTAR Farm Central, PA"
arsmnswanlake1,45.684508,-95.799703,370,"Swan Lake Research Farm, Minnesota"
arsmorris1,45.616700,-96.126900,341,ARS Morris. Minnesota LTAR South Tower - ARSMorrisFYN1
arsmorris2,45.627000,-96.127000,338,ARS Morris. Minnesota LTAR North Tower - ARSMorrisFYN2
arsmorris3,45.609100,-96.126500,342,"Upper Mississippi River Basin (UMRB_Morris), LTAR site arsMorris3, Morris, Minnesota"
arsoljubljana,46.065600,14.512500,300,"ARSO vrt, Ljubljana, Slovenija"
arsope3ltar,39.030900,-76.844200,41,"corn production, economic & environmental research, USDA, Beltsville, Maryland"
arsspltarc2,35.568500,-98.055800,414,Field C2 in the Southern Plains LTAR GREEN Farm. Control plot with no till winter wheat. Grazed.
asa,57.164458,14.782468,180,"SITES Asa Research Station, Lammhult, Sweden"
asa2,57.164458,14.782468,180,"SITES Asa Research Station, Lammhult, Sweden"
ashbottoms,38.866800,-96.902800,374,"Rock Springs 4H Camp, Kansas"
ashburnham,42.602900,-71.926000,292,"Ashburnham State Forest / Overlook Middle School, Ashburnham, Massachusetts"
asuhighlands,36.207600,-81.703200,1016,"Appalachian State University, Boone, NC"
austincary,29.738000,-82.218800,44,"Austin Cary Forest, School of Forest Resources & Conservation, University of Florida, Florida"
aysenforest,-44.800200,-72.825400,50,Aysen Forest
barrocolorado,9.158200,-79.847500,150,"Smithsonian Tropical Research Institute, Barro Colorado Island, Panama"
barrocolorado2,9.154000,-79.848000,150,"Smithsonian Tropical Research Institute, Barro Colorado Island, Panama"
barrocolorado3,9.154000,-79.848000,150,"Smithsonian Tropical Research Institute, Barro Colorado Island, Panama"
barrocolorado4,9.156500,-79.848200,164,"Smithsonian Tropical Research Institute - Ava Tower (45 m high), Barro Colorado Island, Panama"
barrow,71.280075,-156.609149,5,"Barrow Environmental Observatory, Utqiagvik (formerly Barrow), Alaska"
bartlett,44.064600,-71.288100,268,"Bartlett Experimental Forest, Bartlett, New Hampshire"
bartlettir,44.064600,-71.288100,268,"Bartlett Experimental Forest, Bartlett, New Hampshire"
bbc1,42.535080,-72.174359,362,"Hardwood Walk-up Tower, Harvard Forest, Petersham, Massachusetts"
bbc2,42.542000,-72.185000,380,"LPH Tower, Harvard Forest, Petersham, Massachusetts"
bbc3,42.535562,-72.189570,350,"Upward Looking Camera (Witness Tree), Barn Tower, Harvard Forest, Petersham, Massachusetts"
bbc4,42.537800,-72.171500,350,"Upward Looking Camera, Barn Tower, Harvard Forest, Petersham, Massachusetts"
bbc5,41.549500,-70.643200,10,"Woods Hole Research Center, Woods Hole, Massachusetts"
bbc6,44.091700,-71.152000,160,"Forest Floor Camera, Intervale, New Hampshire"
bbc7,44.064600,-71.288100,289,"Bartlett Experimental Forest, Bartlett, New Hampshire"
bezamahafaly,-23.655800,44.628900,165,"Beza Mahafaly Special Reserve, Madagascar"
bigtraillake,64.919400,-147.822000,190,"Flux raft, Big Trail Lake, Fairbanks, AK"
bitterbrush001,48.154000,-119.945600,667,"Parcel 1 East at Midpoint (Shrub-Steppe - Post Wildfire ca. 2014), Methow, Washington"
bitterootvalley,46.507000,-114.091000,1017,"Bitterroot Valley, Stephensville, Montana"
blackrockforest,41.397400,-74.023900,427,"Fire Tower, Black Rock Forest, New York"
blueoakheadquarters,37.382700,-121.739300,572,"Residence Meadow, Blue Oak Ranch Reserve, Santa Clara County, CA"
bnzblackspruce,64.696300,-148.323500,102,"Bonanza Creek LTER, APEX site, Black spruce flux tower"
bnzoldbog,64.693600,-148.330000,100,"Old thermokarst bog near APEX study, Bonanza Cr LTER, Fairbanks AK"
bnzrichfen,64.701340,-148.311950,97,"Bonanza Cr LTER, APEX alpha, rich fen flux tower"
bnzthermokarstbog,64.695500,-148.320800,104,"Bonanza Creek, Thermokarst Bog, BNZ LTER, Alaska"
boglakepeatland,47.505100,-93.489300,416,Marcell Experimental Forest Bog Lake Peatland
borgocioffinorth,40.523700,14.957400,10,"Borgo Cioffi cropland, Battipaglia, Italy"
borgocioffisouth,40.523700,14.957400,10,"Borgo Cioffi cropland, Battipaglia, Italy"
bostoncommon,42.355912,-71.064145,10,"Boston Common, Boston, Massachusetts"
bostonu,42.350410,-71.104380,10,"Boston University, Charles River Esplanade, Boston, Massachusetts"
bouldinalfalfa,38.098500,-121.499300,-5,Alfalfa on peat soils in the SSJ river delta CA
bouldincorn,38.109000,-121.535000,-5,Corn on peat SSJ River Delta Bouldin Island CA
boundarywaters,47.946702,-91.495506,519,"Boundary Waters Canoe Area Wilderness, Superior National Forest, Minnesota"
bozeman,45.783056,-110.777778,2332,"Bangtail Study Area, Montana State University, Montana"
brackishimpoundment,33.201500,-79.297300,1,Managed brackish waterfowl impoundment
brazosfarmwest,30.530900,-96.431100,64,TAMU Brazos Cotton Farm
breedface2022control1,50.624700,6.983000,223,Campus Klein-Altendorf BreedFACE-Control1
breedface2022control2,50.624650,6.985000,223,Campus Klein-Altendorf BreedFACE-Control2
breedface2022ring1,50.624700,6.983900,223,Campus Klein-Altendorf BreedFACE-Ring1
breedface2022ring2,50.624600,6.985800,223,Campus Klein-Altendorf BreedFACE-Ring2
breedface2023control1,50.625400,6.984800,223,Campus Klein-Altendorf BreedFACE-Control1
breedface2023control2,50.625400,6.984700,223,Campus Klein-Altendorf BreedFACE-Control2
breedface2023ring1,50.625400,6.985600,223,Campus Klein-Altendorf BreedFACE-Ring1
breedface2023ring2,50.625300,6.985600,223,Campus Klein-Altendorf BreedFACE-Ring2
breedface2024control1,50.624900,6.987100,223,Campus Klein-Altendorf BreedFACE-Control1
breedface2024control2,50.625000,6.984400,223,Campus Klein-Altendorf BreedFACE-Control2
breedface2024ring1,50.624900,6.986000,223,Campus Klein-Altendorf BreedFACE-Ring1
breedface2024ring2,50.625000,6.985200,223,Campus Klein-Altendorf BreedFACE-Ring2
breedfacectr1,50.625300,6.983700,173,Campus Klein-Altendorf BreedFACE-R1
breedfacectr2,50.625300,6.983700,173,Campus Klein-Altendorf BreedFACE-R2
breedfacering1,50.625200,6.987400,173,Campus Klein-Altendorf BreedFACE-CTR1
breedfacering2,50.625200,6.987400,173,Campus Klein-Altendorf BreedFACE-CTR2
bridger,43.004000,-109.756000,2849,"Bridger Wilderness, Wyoming"
bristoluni,51.456600,-2.602300,66,University of Bristol Engineering Building
bullshoals,36.562833,-93.066630,260,"Bull Shoals Field Station, Missouri State University, Drury-Mincy Conservation Area, Missouri"
burdetterice1,35.828400,-89.987900,70,"Burdette farm rice field 1; Burdette, AR, US, Row with cover"
burdetterice2,35.828400,-89.983600,70,"Burdette farm rice field 1; Burdette, AR, US, Row without cover"
burdetterice3,35.820900,-89.983700,70,"Burdette farm rice field 1; Burdette, AR, US, MIRI"
burdettericea,35.808903,-90.032708,73,"Alternate Wet/Dry Field, Burdette Rice Farm, Burdette, Arkansas"
burdettericec,35.808903,-90.028378,70,"Conventional Field, Burdette Rice Farm, Burdette, Arkansas"
burnssagebrush,43.471200,-119.690900,1398,"Eastern Oregon Agricultural Research Center, Burns, Oregon"
butte,45.953040,-112.479640,1682,"Continental Divide, Butte, Montana"
butterice,39.579300,-121.858000,33,"Rice field in Butte County, California"
caes,23.484800,120.473800,74,LTER Litchi Orchard
cafboydnorthltar01,46.755104,-117.126052,795,"CAF-LTAR Boyd North; LTAR tower at Boyd North, R. J. Cook Agronomy Farm, Pullman, Washington, USA"
cafboydsouthltar01,46.751809,-117.128502,795,"CAF-LTAR Boyd South; LTAR tower at Boyd South, R. J. Cook Agronomy Farm, Pullman, Washington, USA"
cafcookeastltar01,46.781520,-117.082100,794,"CAF-LTAR, Aspirational, Cook East; LTAR tower at Cook East, R. J. Cook Agronomy Farm, Pullman, Washington, USA"
cafcookwestltar01,46.784037,-117.090830,807,"CAF-LTAR Business as usual site, Cook West; LTAR tower at Cook West, R. J. Cook Agronomy Farm, Pullman, Washington, USA"
canadaOA,53.628890,-106.197790,601,"BERMS Old Aspen Site, Prince Albert National Park, Saskatchewan, Canada"
canadaoa2,53.628890,-106.197790,601,"Prince Albert National Park, Saskatchewan, Canada"
canadaOBS,53.987170,-105.117790,628,"BERMS Southern Old Black Spruce Site, Prince Albert National Park, Saskatchewan, Canada"
canadaojp,53.916300,-104.692000,595,"BERMS Old Jack Pine Site, Saskatchewan, Canada"
caryinstitute,41.783900,-73.734100,127,"Cary Institute of Ecosystem Studies, Millbrook, NY"
caryinstitute2,41.783900,-73.734100,127,"Cary Institute of Ecosystem Studies, Likens Lab Building Roof. Forest mixed oak and maple"
cedarcreek,45.401900,-93.204200,276,"Cedar Creek Ecosystem Science Reserve (LTER), East Bethel, Minnesota"
cedarcreek2,45.401900,-93.204200,276,"Cedar Creek Ecosystem Science Reserve (LTER), Minnesota"
cedarmesa,37.524100,-109.747100,1860,"Cedar Mesa Ameriflux site, Bears Ears National Monument, Utah"
centralredwoods1,38.632272,-123.301511,200,
centralredwoods2,38.632272,-123.301511,200,
chibougamau,49.692400,-74.342000,380,"Eastern Old Black Spruce Site, Chibougamau, Quebec, Canada"
clareviewconvpasture,-43.786400,171.595300,200,Clareview ConvPasture SE
clareviewregenpasture,-43.786400,171.595300,200,Clareview Regen Pasture NW
coaloilpoint,34.413695,-119.880226,6,"Coal Oil Point Natural Reserve, Santa Barbara, California"
coaloilpoint1,34.413695,-119.880226,6,"Coal Oil Point Natural Reserve, Santa Barbara, California"
columbiamissouri,38.744100,-92.199700,232,"University of Missouri, Ashland Wildlife Research Area, Missouri"
congoflux,0.814400,24.502400,357,"Tower, Tropical Forest, DR Congo"
contactcreek,58.207600,-155.922500,200,"Contact Creek, Katmai National Park and Preserve, Alaska"
cottonwood,43.949950,-101.846610,744,"Buffalo Gap National Grassland, Cottonwood, South Dakota"
coville,58.802500,-155.562900,478,"Lake Coville, Katmai National Park and Preserve, Alaska"
coweeta,35.059200,-83.427500,680,"Coweeta Hydrologic Laboratory, USDA Forest Service, Southern Research Station, Otto, North Carolina"
cperagm,40.840200,-104.767200,1644,CPER Adaptive Grazing Management
cperheavy,40.815300,-104.738600,1652,CPER Heavy Grazing Management
cpertgm,40.833000,-104.760000,1644,CPER Traditional Grazing Management
cperuvb,40.805576,-104.755854,1641,"Central Plains Experimental Range, Nunn, Colorado"
craterlake1b,-62.985000,-60.681400,97,"Crater Lake CALM Site (Camera 1B), Deception Island, South Shetland Archipelago, Antarctica."
craterlake2,-62.987100,-60.676800,96,"Crater Lake CALM Site (Camera 2), Deception Island, South Shetland Archipelago, Antarctica."
csutest,40.574800,-105.081000,1575,"Colorado State University, Colorado"
cucamongasouth,33.622000,-116.867000,1086,"San Bernardino National Forest, California"
cuny,40.816200,-73.950700,42,"CUNY Advanced Science Research Center, New York City, New York"
czdrylandpecan,31.412300,-106.078700,1092,"Commercially managed pecan orchard (5R Enterprise), eddy covariance tower, Tornillo, TX."
czdryredlake,32.712200,-106.830300,1311,Jornada Experimental Range Red Lake Playa eddy covariance tower (Dryland Critical Zone)
dangermondbunkerhill,34.490900,-120.463500,5,"Bunker Hill, Dangermond Preserve, Lompoc California"
dangermondjalama,34.516300,-120.458000,142,"Jalama Headquarters, Dangermond Preserve, Lompoc, California"
delnortecounty1,41.600000,-124.100000,28,"Del Norte County Site 1, Redwood PhenoCam Network"
delnortecounty2,41.600000,-124.100000,28,"Del Norte County Site 2, Redwood PhenoCam Network"
derur,50.621900,6.304100,514,"DE-RuR, Rollesbroich, grasslands, north rhine westphalia, germany"
distilleryfields,51.899600,-8.488100,12,"Distillery Fields, University College Cork, Ireland"
dollysods,39.099529,-79.427041,1133,"Canaan Valley / Dolly Sods Wilderness, Monongahala National Forest, West Virginia"
donanafuenteduque,36.998553,-6.434595,1,"Doñana marshes from the Fuente Duque Eddy Tower installation, Doñana National Park, Spain"
donanapajarera,36.996200,-6.443200,2,"Cork oak old tree and poplars together with brackens and grasslands, Donana National Park, Spain"
donanaresoliman,37.073300,-6.433400,1,"Doñana marshes from resoliman installation, Spain"
doverdesaltmarsh,39.088800,-75.436800,0,"DNERR St. Jones Boardwalk, Salt Marsh, Dover, Delaware, Elevation TBD later"
downerwoods,43.079380,-87.880760,213,"UW-Milwaukee Field Station, Downer Woods Natural Area, Milwaukee, Wisconsin"
drippingsprings,33.300000,-116.800000,400,"Cleveland National Forest, California"
dukehw,35.973583,-79.100371,400,"Hardwood Stand, Duke Forest, North Carolina"
eastend,38.102730,-121.641318,-5,"Twitchell Island, Antioch, California"
eastend2,38.102730,-121.641318,-5,"Twitchell Island, Antioch, California"
eastpond,38.107100,-121.642500,-3,"Twitchell Island, Antioch, California"
ecb1,41.534800,-84.806800,275,"LTAR Eastern Corn Belt, Tower 1, Hamilton, IN"
ecb2,41.532100,-84.808000,275,"LTAR Eastern Corn Belt, Tower 2, Hamilton, IN"
ecb4,41.179600,-83.060400,240,"Lowell, Ohio"
egypt15n,35.936700,-90.913600,78,"Main Tower at 15N (North sector, rice), Egypt, AR"
egypt17n,35.932800,-90.904900,77,"Site 17 N (North sector, rice) at Egypt, AR"
egypt17s,35.929100,-90.905000,77,"Site at 17 S (South sector, rice) at Egypt, AR"
elora1,43.640800,-80.414100,5,"Plot 3, field crops, Elora Research Station, Ontario, Canada"
elora3,43.640500,-80.412300,376,"Plot 3, Elora Research Station, Elora, Ontario, Canada"
elverde,18.320654,-65.819900,312,"El Verde Field Station, El Yunque National Forest, North Eastern Puerto Rico"
ericamera,51.895100,-8.516000,18,"willows, river Lee, ERI, UCC"
esalb,38.701839,-6.785881,279,"Albuera Dehesa, Spain"
eshester,36.809800,-121.752300,4,"Disturbed Wetland Setting in Elkhorn Slough Reserve, Moss Landing, California."
eslm1,39.942689,-5.778683,265,"Majadas de Tietar (North), Spain"
eslm2,39.934592,-5.775881,269,"Majadas del Tietar (South), Spain"
eslma,39.940300,-5.774600,265,"Las Majadas del Tietar , Spain"
esporter,36.855800,-121.748700,4,"Undisturbed Wetland in Elkhorn Slough Reserve, Moss Landing, California"
esyampah,36.810600,-121.749000,4,"Restored wetland in Elkhorn Slough Reserve, Moss Landing, CA"
ettenheim1,48.268500,7.878200,482,"Eddy Covariance Tower (above Canopy), Ettenheim Forest, Ettenheim, Baden-Württemberg, Germany"
ettenheim2,48.268500,7.878200,482,"Eddy Covariance Tower (below Canopy), Ettenheim Forest, Ettenheim, Baden-Württemberg, Germany"
eucflux,-22.967875,-48.728009,750,"Eucalyptus plantation, Sao Paulo state, Brazil"
exglsnotel,60.190300,-149.621200,122,"Exit Glacier, Kenai Fjords National Park, Alaska"
fairmiemingaut1,47.316500,10.970100,959,"Main Tower, Pine Forest, FAIR site, Mieming, Austria"
fairmiemingaut2,47.316600,10.970300,960,"Understory, Pine Forest, FAIR site, Mieming, Austria"
farewellgap,36.453000,-118.590000,2500,"Farewell Gap / Mineral King, Sequoia National Park, California"
fernow,39.054200,-79.687500,650,"Fernow Experimental Forest, Parsons, West Virginia"
flagstaff,35.179615,-111.604903,6983,"Forestdale, Flagstaff AZ"
flagstaff2,35.179225,-111.604506,6983,"Forestdale, Flagstaff AZ"
flagstaff3,35.179615,-111.604903,6983,"Forestdale, Flagstaff AZ"
flagstaff4,35.179615,-111.604903,6983,"Forestdale, Flagstaff AZ"
flagstaff6,35.179615,-111.604903,6983,"Forestdale, Flagstaff AZ"
flagstaff7,35.179615,-111.604903,6983,"Forestdale, Flagstaff AZ"
flagstaff8,35.179615,-111.604903,6983,"Forestdale, Flagstaff AZ"
flagstaff9,35.179615,-111.604903,6983,"Forestdale, Flagstaff AZ"
flagstaffchimneysprings,35.257296,-111.678542,2250,"Thinned ponderosa pine forest near Flagstaff, AZ"
flanders,56.167700,-4.193000,20,"Flanders moss, national nature reserve, large intact raised bog"
forbes,39.232000,-121.297200,360,"Forbes plot, Sierra Foothill Research and Extension Center, Browns Valley, CA"
forthgr,35.304500,25.074300,68,FORTH Heraklion Greece
fortpaynealpasture1,34.382400,-85.642800,405,"Grazed pasture 1, Fort Payne, Alabama"
fortpaynealpasture2,34.382400,-85.644700,403,"Grazed pasture 2, Fort Payne, Alabama"
frchem,48.001100,7.848600,324,Freiburg Urban
freemangrass,29.930000,-98.010000,243,"Grassland Site, Texas State University, Freeman Ranch, San Marcos, Texas"
freemansavanna,29.949500,-97.996200,272,"Savanna Site, Texas State University, Freeman Ranch, San Marcos, Texas"
freemanwood,29.940000,-97.990000,254,"Woodland Site, Texas State University, Freeman Ranch, San Marcos, Texas"
fsbcamera,51.892800,-8.495400,10,"Native Trees, FSB, UCC"
furmanpheno,34.919800,-82.437900,351,"Paladin Stadium (roof access), Furman University, Greenville, South Carolina"
gatesofthemountains,46.826200,-111.710700,2387,"Gates of the Mountains Wilderness, Helena National Forest, Montana"
gcejuncus,31.386800,-81.275000,4,"GCE-LTER Juncus (Juncus roemerianus/Spartina alterniflora marsh transition zone), Sapelo Island, Georgia"
gcesapelo,31.444044,-81.283528,0,"Georgia Coastal Ecosystems LTER, Sapelo Island, Georgia"
gilberttract,38.001500,-121.669100,6,"Dutch Slough restored tidal marsh, Oakley, California"
glacier,48.501384,-113.986352,970,"Headquarters Building, Glacier National Park, West Glacier, Montana"
glees,41.364400,-106.239400,3150,"Glacier Lakes Ecosystem Experiments Site (GLEES), Wyoming"
glennorganicrice,39.680500,-122.002600,2,Glenn Organic Rice
glennrice,39.594400,-122.025300,36,Glenn County rice Farm
goodnow,43.960180,-74.209940,820,"Goodnow Mountain Fire Tower, Huntington Wildlife Forest, Newcomb, New York"
goodwater,39.228480,-92.119360,264,"Goodwater Creek Experimental Watershed (LTAR-CMRB), Missouri"
goodwaterbau,39.231150,-92.152160,274,"Goodwater Creek Experimental Watershed BAU (LTAR-CMRB), Missouri"
goriz,42.663400,0.015000,2200,"Góriz Refuge (PNOMP), Spain"
grandballon,47.898600,7.101300,1336,mountain grassland
grandcanyon,36.060000,-112.117500,2177,"Yavapai Museum, Grand Canyon National Park, Arizona"
grandrivergrass,40.695873,-94.090862,368,"Grand River Grasslands, Iowa"
grandteton,43.915017,-110.578036,2054,"Grand Teton National Park, Wyoming"
grca1pj,36.024100,-112.221100,1978,Grand Canyon NP Pinyon-Juniper South Rim
greatsaltlake,41.060400,-112.101300,1283,"Great Salt Lake Phragmites, Farmington Bay, Utah"
greenfield18nw,35.664700,-90.715200,76,"18NW Tower, NERREC, Greenfield, Arkansas"
greenfield19nw,35.664700,-90.719700,76,"19NW Tower, NERREC, Greenfield, Arkansas"
greenridge1,39.690500,-78.406700,285,"Green Ridge State Forest, Maryland USA"
greenridge2,39.702500,-78.463800,285,"Green Ridge State Forest, Maryland USA"
groundhog,48.217400,-82.155500,350,"Groundhog River, Ontario, Canada"
gscheidegg,47.514400,14.674500,1690,"tree line, forest line, alpine pasture"
gumpenstein,47.493900,14.100800,710,"ClimGrass Project, Raumberg-Gumpenstein, Styria, Austria"
gumpenstein2,47.493800,14.100900,710,"ClimGrass Project, Raumberg-Gumpenstein, Styria, Austria"
haha,21.370000,-158.170000,865,"Waianae Mountain Range, Hawaiian Island of Oahu (actual location offset)"
hanfordhn1,46.408900,-119.275000,119,The site is an upland sagebrush-steppe ecosystem within the Hanford 300 Area.
hartheim1,47.933800,7.598100,201,"Main Tower, DE-Har, Germany (Tower Top)"
hartheim2,47.933800,7.598100,201,"Main Tower, DE-Har, Germany (below canopy)"
hartheim3,47.936700,7.600600,201,"Secondary Tower (Clearcut 2018), Germany"
hartprairie,35.353600,-111.732400,2585,"Hart Prairie Preserve, Flagstaff, Arizona"
harvard,42.537800,-72.171500,340,"EMS Tower, Harvard Forest, Petersham, Massachusetts"
harvardbarn,42.535320,-72.189900,350,"Barn Tower, Camera 1, Harvard Forest, Petersham, Massachusetts"
harvardbarn2,42.535320,-72.189900,350,"Barn Tower, Camera 2, Harvard Forest, Petersham, Massachusetts"
harvardblo,42.537800,-72.171500,340,"Below-canopy camera, EMS Tower, Harvard Forest, Petersham, Massachusetts"
harvardchill,42.535600,-72.189600,353,"Big Chill Experiment, Prospect Hill Tract, Harvard Forest, Massachusetts"
harvardems2,42.537800,-72.171500,340,"EMS Tower, Harvard Forest, Petersham, Massachusetts - new camera"
harvardfarmnorth,42.520465,-72.182242,355,"Harvard Farm, Petersham, Massachusetts"
harvardfarmnorth2,42.520465,-72.182242,355,"Harvard Farm, Petersham, Massachusetts"
harvardfarmsouth,42.522466,-72.182339,355,"Harvard Farm, Petersham, Massachusetts"
harvardgarden,42.529100,-72.186300,335,"Common Garden, Harvard Forest, Petersham, MA"
harvardhemlock,42.539000,-72.180000,355,"Hemlock Tower, Harvard Forest, Petersham, Massachusetts"
harvardhemlock2,42.539407,-72.177976,355,"Hemlock Tower, Harvard Forest, Petersham, MA, USA"
harvardlph,42.542000,-72.185000,380,"LPH Tower, Harvard Forest, Petersham, Massachusetts"
